0,1,46
1,3,75
2,2,30
3,1,32
4,2,39
5,2,63
6,3,43
7,2,45
8,3,29
9,3,42
10,2,56
11,3,42
12,2,39
13,1,47
14,2,45
15,3,48
16,2,55
17,3,47
18,3,35
19,5,36
20,2,59
21,3,48
22,3,50
23,4,47
24,3,56
25,4,32
26,3,49
27,1,28
28,3,53
29,2,37
30,1,54
31,3,50
32,3,42
33,3,27
34,3,45
35,3,38
36,3,56
37,4,53
38,3,50
39,4,22
40,3,43
41,3,34
42,5,29
43,1,47
44,3,53
45,3,33
46,3,43
47,5,65
48,3,65
49,3,63
50,2,49
51,3,52
52,5,60
53,4,45
54,3,46
55,5,58
56,3,57
57,2,46
58,5,42
59,4,44
60,3,45
61,5,53
62,2,55
63,5,64
64,3,43
65,1,41
66,3,47
67,3,56
68,3,43
69,3,39
70,3,38
71,3,44
72,3,43
73,3,51
74,4,38
75,4,33
76,4,49
77,4,50
78,3,33
79,2,45
80,3,38
81,2,50
82,4,34
83,4,39
84,3,48
85,5,54
86,3,50
87,3,40
88,1,32
89,1,41
90,2,33
91,4,55
92,1,48
93,2,49
94,2,40
95,2,50
96,4,46
97,2,41
98,2,69
99,2,48
100,3,35
101,4,52
102,4,44
103,2,60
104,4,46
105,4,41
106,3,48
107,5,52
108,2,23
109,5,42
110,3,40
111,3,32
112,3,22
113,3,31
114,3,52
115,3,52
116,4,42
117,2,60
118,1,51
119,5,56
120,5,50
121,4,43
122,4,51
123,3,43
124,1,38
125,3,24
126,3,49
127,3,49
128,5,60
129,4,25
130,4,28
131,5,39
132,5,53
133,1,51
134,4,56
135,2,45
136,4,27
137,2,47
138,5,46
139,2,29
140,4,62
141,1,52
142,3,45
143,3,50
144,4,62
145,4,47
146,4,36
147,3,44
148,3,36
149,2,49
150,4,35
151,4,29
152,2,51
153,4,48
154,5,32
155,3,42
156,2,41
157,3,45
158,3,61
159,2,44
160,3,50
161,2,25
162,3,33
163,4,43
164,4,39
165,4,50
166,3,32
167,2,32
168,4,50
169,2,50
