0,3,70
1,5,47
2,5,69
3,3,57
4,3,57
5,5,40
6,1,48
7,1,48
8,5,42
9,2,52
10,4,56
11,2,49
12,4,56
13,3,70
14,3,55
15,3,41
16,3,57
17,1,48
18,4,55
19,2,63
20,1,53
21,3,49
22,3,60
23,5,76
24,3,41
25,3,43
26,3,63
27,2,55
28,1,52
29,3,35
30,2,57
31,3,41
32,3,57
33,2,54
34,3,59
35,3,46
36,3,30
37,4,57
38,3,57
39,1,40
40,4,43
41,3,42
42,4,49
43,1,40
44,2,45
45,4,60
46,3,61
47,5,49
48,2,47
49,3,44
50,3,48
51,3,62
52,2,48
53,2,55
54,3,53
55,2,56
56,2,33
57,3,40
58,3,57
59,3,26
60,4,44
61,4,45
62,5,57
63,2,46
64,2,54
65,2,54
66,3,54
67,4,46
68,3,34
69,2,49
70,2,56
71,3,72
72,2,61
73,1,44
74,3,58
75,2,57
76,3,31
77,1,42
78,5,55
79,5,39
80,3,41
81,5,45
82,5,49
83,4,43
84,1,50
85,3,44
86,3,45
87,4,55
88,3,55
89,3,52
90,5,54
91,3,42
92,2,46
93,2,58
94,3,50
95,3,35
96,3,37
97,3,51
98,3,56
99,3,58
100,4,44
101,2,51
102,3,49
103,2,40
104,3,52
105,5,51
106,3,42
107,3,40
108,2,54
109,2,64
110,3,43
111,3,40
112,3,49
113,3,64
114,2,45
115,2,53
116,5,62
117,5,47
118,4,38
119,4,44
120,1,41
121,5,55
122,3,48
123,4,39
124,5,41
125,2,63
126,5,56
127,3,46
128,5,24
129,3,38
130,4,56
131,2,52
132,3,47
133,3,71
134,2,29
135,3,54
136,3,48
137,1,52
138,3,50
139,4,54
140,4,70
141,3,54
142,2,65
143,5,48
144,2,53
145,2,54
146,2,64
147,4,50
148,3,48
149,2,46
150,3,52
151,5,37
152,3,56
153,3,51
154,3,50
155,4,45
156,4,56
157,3,48
158,3,41
159,4,63
160,4,40
161,4,45
162,3,47
163,4,44
164,4,51
165,5,50
166,2,41
167,3,43
168,3,40
169,4,35
170,3,45
171,1,63
172,2,58
173,3,39
174,4,53
175,5,28
176,1,37
177,1,50
178,2,52
179,3,68
180,1,40
181,3,73
182,3,44
183,3,39
184,3,38
185,5,37
186,3,34
187,5,38
188,3,45
189,2,54
190,1,42
191,2,59
192,3,35
193,5,41
194,2,46
195,5,36
196,1,55
197,3,49
198,3,52
199,4,54
200,2,43
201,1,37
202,5,56
203,3,64
204,1,54
205,4,43
206,3,44
207,2,33
208,5,49
209,3,47
210,2,64
211,2,52
212,3,55
213,3,52
214,3,52
215,1,44
216,2,50
217,3,59
218,3,62
219,2,18
220,3,49
221,3,37
222,3,62
223,3,46
224,4,68
225,3,70
226,4,62
227,3,60
228,3,49
229,2,40
230,4,37
231,2,58
232,3,47
233,3,56
234,2,42
235,3,27
236,3,35
237,4,45
238,4,55
239,2,44
240,3,52
241,3,53
242,2,44
243,2,52
244,2,44
245,3,61
246,2,47
247,3,62
248,3,45
249,1,57
250,3,47
251,5,39
252,4,50
253,4,56
254,3,61
255,5,61
256,4,53
257,2,31
258,3,49
259,3,61
260,3,42
261,4,51
262,3,52
263,5,43
264,5,49
265,5,42
266,3,52
267,4,40
268,4,55
269,3,54
270,3,49
271,3,63
272,4,56
273,4,51
274,2,60
275,1,46
276,2,56
277,5,45
278,4,58
279,1,61
280,3,48
281,3,53
282,3,42
283,3,54
284,3,57
285,5,45
286,1,69
287,4,56
288,5,65
289,3,55
290,4,52
291,4,55
292,3,49
293,4,41
294,4,47
295,2,32
296,4,60
297,3,41
298,4,45
299,2,37
300,4,43
301,5,48
302,2,70
303,2,54
304,1,48
305,4,67
306,4,49
307,4,58
308,3,42
309,1,48
310,4,50
311,2,44
312,4,61
313,2,63
314,3,41
315,4,68
316,5,38
317,4,45
318,4,44
319,3,46
320,3,43
321,4,62
322,4,48
323,5,41
324,5,47
325,1,49
326,2,46
327,4,42
328,3,42
329,2,51
330,2,53
331,3,41
332,4,34
333,2,22
334,2,50
335,3,51
336,3,64
337,3,38
338,5,38
339,2,38
340,4,51
341,3,45
342,3,47
343,4,53
344,3,74
345,4,45
346,2,25
347,3,54
348,4,65
349,5,44
350,3,69
351,3,54
352,3,28
353,2,48
354,3,53
355,1,54
356,3,39
357,2,51
358,3,52
359,3,50
360,3,59
361,3,44
362,2,49
363,3,66
364,4,61
365,3,41
366,4,45
367,3,53
368,5,72
369,2,65
370,4,37
371,4,56
372,5,35
373,4,56
374,2,68
375,3,54
376,3,53
377,4,44
378,5,52
